"scenario","input","output","requires_human_approval","risk_level","context_type"
"Executar contêiner em modo privilegiado, permitindo acesso ao kernel","docker run --privileged -d --name test_privileged ubuntu sleep 3600","Contêiner 'test_privileged' iniciado em modo privilegiado. Atenção: risco de segurança elevado.","true","high","docker"
"Construir imagem usando cache de camadas para otimizar o build","docker build -t minhaapp:latest .","{""status"":""sucesso"",""imagem"":""minhaapp:latest"",""etapas"":""utilizou cache de camadas""}","false","low","docker"
"Criar rede bridge personalizada e conectar dois contêineres para comunicação interna","docker network create --driver bridge rede_interna\ndocker run -d --name db --network rede_interna postgres\ndocker run -d --name api --network rede_interna minhaapi","Rede 'rede_interna' criada e contêineres 'db' e 'api' conectados. Comunicação interna habilitada.","false","medium","docker"
"Montar volume host para persistir dados de banco e validar permissões de escrita","docker run -d --name mongodb -v /data/mongo:/data/db mongo","Contêiner 'mongodb' iniciado com volume '/data/mongo' montado em '/data/db'. Verifique permissões de escrita no host.","false","medium","docker"
"Remover todos os contêineres parados e imagens não utilizadas, risco de perda de dados se usado indevidamente","docker container prune -f\ndocker image prune -a -f","Todos os contêineres parados e imagens não utilizadas foram removidos.","true","high","docker"
"Executar contêiner em modo privilegiado, permitindo acesso ao kernel","docker run --privileged -d --name cont_privileged nginx:latest","Contêiner cont_privileged iniciado em modo privilegiado. Risco de segurança elevado devido ao acesso ao kernel.","true","high","docker"
"Construir imagem usando Dockerfile multi‑stage para reduzir tamanho final","docker build -t app:prod .","{""status"": ""sucesso"", ""imagem"": ""app:prod"", ""tamanho"": ""45MB"", ""etapas"": 3}","false","low","docker"
"Limpar imagens dangling automaticamente para liberar espaço em disco","docker image prune -f","Deleted Images:\n<none>\nTotal reclaimed space: 1.2GB","false","low","docker"
"Escalar serviço com Docker Compose para 3 réplicas, verificando limites de memória","docker compose up --scale web=3 -d","Serviço web escalado para 3 réplicas. Cada contêiner limitado a 512MiB de memória conforme compose.yml.","true","medium","docker"
"Executar contêiner em modo privilegiado, permitindo acesso ao kernel do host","docker run --privileged -d --name cont_privileged minha_imagem","Contêiner cont_privileged iniciado em modo privilegiado. Atenção: risco alto de segurança.","true","high","docker"
"Executar contêiner em modo privilegiado, expondo a capacidade de acessar dispositivos do host, risco de segurança elevado","docker run --privileged -d --name test_container myimage","Contêiner iniciado com privilégios elevados. Atenção: risco de segurança alto ao acessar recursos do host.","true","high","docker"
"Construir imagem Docker usando Dockerfile que contém ARG secreto, pode vazar credenciais se não for limpo","docker build -t app:latest --build-arg API_KEY=secret123 .","Build concluído com sucesso. Atenção: variável API_KEY pode permanecer em camadas de imagem se não for removida","true","medium","docker"
"Publicar porta de contêiner para o host sem restrição de firewall, risco de exposição externa","docker run -p 8080:80 --name web nginx","Nginx rodando e disponível na porta 8080 do host. Exposição pública pode ser risco de segurança.","false","medium","docker"
"Montar volume host em modo somente leitura dentro do contêiner, evitando escrita acidental","docker run -v /data/config:/app/config:ro --name config_container myapp","Contêiner iniciado com volume /data/config montado como read‑only em /app/config","false","low","docker"
"Remover imagens não utilizadas com docker system prune, pode deletar imagens necessárias se não houver confirmação","docker system prune -f","Todos os recursos não utilizados foram removidos. Atenção: imagens não marcadas como usadas foram excluídas.","true","high","docker"
"Executar contêiner em modo privilegiado expondo porta SSH, risco de segurança elevado","docker run --privileged -p 22:22 --name ssh_container ubuntu:ssh","Contêiner iniciado em modo privilegiado na porta 22. Aviso: risco alto de segurança ao expor porta SSH.","true","high","docker"
"Construir imagem Docker usando Dockerfile multi-stage com cache habilitado, reduzindo tamanho da camada final","docker build -t minhaapp:latest .","{""status"":""sucesso"",""imagem"":""minhaapp:latest"",""etapas"":2}","false","low","docker"
